agent_type,id,demand,demand_function,fitness,objective_function,utility_function,learning_algorithm,risk_aversion,informed,signal,dfx_beta0,dfx_beta1,la_crossover_rate,la_mutation_rate
0.00,39.00,-6.47,1.00,-1405965011611343.75,1.00,1.00,1.00,0.60,1.00,0.39,16.55,-4.89,0.24,0.45
0.00,40.00,-6.47,1.00,-344526469285787155300352.00,1.00,1.00,1.00,0.88,1.00,0.39,16.55,-4.89,0.79,0.13
0.00,41.00,-6.47,1.00,-37894116828580368.00,1.00,1.00,1.00,0.65,1.00,0.39,16.67,-5.54,0.98,0.18
0.00,42.00,-8.43,1.00,-417.25,1.00,1.00,1.00,0.15,1.00,0.39,16.67,-5.54,0.47,0.42
0.00,43.00,-5.79,1.00,-0.40,1.00,1.00,1.00,0.05,1.00,0.39,18.71,-2.83,0.65,0.71
0.00,44.00,-5.79,1.00,-11137042254.73,1.00,1.00,1.00,0.48,1.00,0.39,18.71,-2.83,0.45,0.41
0.00,45.00,-6.17,1.00,-96.20,1.00,1.00,1.00,0.18,1.00,0.39,16.75,-0.57,0.25,0.61
0.00,46.00,-6.17,1.00,-33195226560206740.00,1.00,1.00,1.00,0.68,1.00,0.39,16.75,-0.57,0.98,0.93
0.00,47.00,-7.74,1.00,-5860779877187930055245824.00,1.00,1.00,1.00,0.78,1.00,0.39,17.31,-0.43,0.91,0.75
0.00,48.00,-7.74,1.00,-54423077969.78,1.00,1.00,1.00,0.39,1.00,0.39,17.31,-0.43,0.43,0.84
0.00,49.00,-8.30,1.00,-838488632071818422779904.00,1.00,1.00,1.00,0.71,1.00,0.39,16.16,-0.94,0.02,0.25
0.00,50.00,-8.30,1.00,-225013182238143331318888365293568.00,1.00,1.00,1.00,0.93,1.00,0.39,16.16,-0.94,0.75,0.15
0.00,51.00,-7.56,1.00,-184072754968243802724726996992.00,1.00,1.00,1.00,0.93,1.00,0.39,16.93,0.43,0.66,0.86
0.00,52.00,-7.04,1.00,-5526616419527508885504.00,1.00,1.00,1.00,0.76,1.00,0.39,15.30,0.31,0.58,0.90
0.00,53.00,-7.95,1.00,-3493633253089487.50,1.00,1.00,1.00,0.51,1.00,0.39,16.30,0.73,1.00,0.51
0.00,54.00,-7.95,1.00,-0.39,1.00,1.00,1.00,0.06,1.00,0.39,16.30,0.73,0.71,0.43
0.00,55.00,-7.57,1.00,-16399138865101700569086558208.00,1.00,1.00,1.00,0.90,1.00,0.39,16.20,-0.35,0.85,0.02
